task_id,course_id,concept,title,semester,week,type,length,audience,depth,scope,guidance,inquiry,sources,source_note,source_status,source_format,skills,subskills,free_note,desc,file_url
4006,3007,סמכות לגיטימית,הובס ולוק,א,6,ניתוח טקסט,550 מילה,אקדמי,קישור לידע אחר,רכיב בודד,מכוון,תיאורטי־פילוסופי,הובס | לוק,"לויתן פרקים יג-טו, יז-יח; המסכת השנייה פרקים ב-ה",ראשוני,ספר או פרק,ניתוח מקורות | הבנה מושגית | כתיבה אקדמית | השוואה,פירוק מושג לרכיביו | בחירת ציר השוואה | מיקום עמדות על הציר | פירוק מבנה הטיעון,פירוק הגדרה מורכבת לרכיביה; צמצום אנליטי,"להשוות בין תפיסות הובס ולוק על סמכות לגיטימית, ולמקם את שתיהן מול עמדת האנרכיסט.",https://bgu365.sharepoint.com/:w:/s/-_bcadee/IQBtUfGwcnLZQ7GMSf_L1axoARydw4jVgnbugAGKRXygKDg?e=y3gD5f
4015,3007,רפורמה מול מהפכה,תרגיל אמצע — ברק ודה־גוז׳,א,11,ניתוח טקסט,1100 מילה,אקדמי,ביקורת והכרעה,תוצר חלקי,פתוח,תיאורטי־פילוסופי,אדמונד ברק | אולמפ דה־גוז׳,"שני טקסטים בני התקופה, שונים בז׳אנרם",ראשוני,ספר או פרק,ניתוח מקורות | כתיבה אקדמית | השוואה | ביקורת והערכה,בחירת ציר השוואה | הכרעה מנומקת | בניית טיעון | שיפוט נורמטיבי,גזירת ציר השוואה עצמאי,"לקרוא שני טקסטים שונים בז׳אנרם על זכויות, ולבנות טיעון המכריע בשאלת רפורמה מול מהפכה.",https://bgu365.sharepoint.com/:b:/s/-_bcadee/IQDZTEJo4Y_UR7WLTUlCrouaAZ0OPlOtG6wzwrSF817Pgtg?e=Cm6fnT
4008,3007,זכויות מול שחרור,מרקס,ב,5,ניתוח טקסט,לא צוין,אקדמי,פרשנות,רכיב בודד,מכוון,תיאורטי־פילוסופי,מרקס,המניפסט הקומוניסטי,ראשוני,ספר או פרק,ניתוח מקורות | הבנה מושגית | כתיבה אקדמית,זיהוי הטענה המרכזית | פירוק מבנה הטיעון | בניית טיעון | יחסים בין מושגים,קריאה נגד המובן־מאליו,"לחלץ מהמניפסט את טענת מרקס על הפער בין זכויות פורמליות לשחרור, ולבסס עליה טיעון.",https://bgu365.sharepoint.com/:b:/s/-_bcadee/IQDKkiQIpUyOSbKsQGw5JUHFAc6yf1gbc4vhfeh81fJpHnU?e=AnYYIK
4010,3017,לאומיות,לאומיות סלובנית,א,5,ניתוח טקסט,שני עמודים,אקדמי,קישור לידע אחר,רכיב בודד,מכוון,אמפירי,תיאוריות לאומיות,פרימורדיאליזם מול מודרניזם; ההוגים טעונים אימות,משני,מאמר עיתונאי או כתבה,ניתוח מקורות | הבנה מושגית | כתיבה אקדמית,כריית עדויות מחומר גולמי | יישום על מקרה חדש | היבטים מבניים | הגדרה מדויקת,נשענת על מדריך כתיבה ותרגול ייעודי,"לחלץ עדויות מכתבה על לאומיות סלובנית, ולפרשן דרך מסגרות הלאומיות.",https://bgu365.sharepoint.com/:b:/s/-_bcadee/IQCPqtJCO0F1S5WCm4EHhjASATCZEhEkIoFCRVbSCY7IRiw?e=agVtUD
4011,3017,ייצוג ועוצמה,אוריינטליזם,א,10,עבודה,שני עמודים,אקדמי,ביקורת והכרעה,תוצר חלקי,פתוח,תיאורטי־פילוסופי,סעיד,מסגרת האוריינטליזם; המאמר מאותר עצמאית,משני,מאמר שפיט,ניתוח מקורות | כתיבה אקדמית | מיומנויות מחקר | ביקורת והערכה,עיצוב מחקר | הכרעה בין עמדות | תוקף לוגי | בניית טיעון,איתור ספרות עצמאי,"לאתר עצמאית מאמר אקדמי, ולהעריכו לאור מסגרת סעיד על היחס בין ייצוג לעוצמה.",
4005,3012,הגמוניה,ניתוח ציוצים,ב,6,ניתוח טקסט,1000 מילה,אקדמי,קישור לידע אחר,רכיב בודד,מכוון,אמפירי,גראמשי | קימרלינג,מושג ההגמוניה; מקור ראשוני עכשווי,ראשוני,ציוץ או פוסט,ניתוח מקורות | הבנה מושגית | כתיבה אקדמית,הגדרה מדויקת | יישום על מקרה חדש | כריית עדויות מחומר גולמי | בניית טיעון,מקור ראשוני עכשווי,"לנתח שלושה ציוצים עכשוויים דרך מושג ההגמוניה, תוך הבחנה בין השימוש העממי במושג להגדרתו האקדמית.",
4007,3012,שיטת בחירות ומשבר,שיטת הבחירות,ב,9,עבודה,1000 מילה,אקדמי,פרשנות,תוצר חלקי,פתוח,אמפירי,,ללא מקור ראשוני מוגדר,,,כתיבה אקדמית | ביסוס קשרים סיבתיים,הצעת מנגנון | מתאם מול סיבתיות | בניית טיעון | לכידות וקוהרנטיות,,לדון בקשר שבין המשבר הפוליטי לתוצאות הבחירות האחרונות בישראל.,https://bgu365.sharepoint.com/:w:/s/-_bcadee/IQDGcG7nW6nmTZVZ-y2KyCTgASL1ySeCVN2zjFbTwEY4K6s?e=Pvcrd6
4013,3012,מגמות גיוס,מגמות גיוס (רשות),ב,12,ניתוח טקסט,עמוד וחצי,אקדמי,קישור לידע אחר,רכיב בודד,מכוון,אמפירי,יגיל לוי,המשוואה הרפובליקנית,משני,מאמר עיתונאי או כתבה,ניתוח מקורות | הבנה מושגית | ביסוס קשרים סיבתיים,יישום על מקרה חדש | הצעת מנגנון | הבחנה בין תיאור לפרשנות | הגדרה מדויקת,מטלת רשות,"לנתח פרשנות פוליטית עכשווית באמצעות מודל סוציולוגי, ולזהות אילו תהליכים עיצבו את מגמות הגיוס.",
4014,3006,שאלת מחקר,ניסוח שאלת מחקר,א,7,הצגה,מצגת,אקדמי,ביקורת והכרעה,רכיב בודד,מכוון,אמפירי,,ספרות מאותרת עצמאית,,,מיומנויות מחקר | עמדה אפיסטמולוגית,עיצוב מחקר | הצגת ממצאים | החזקת מורכבות | ערעור המובן־מאליו,שיקוף עמדת יריב; ערעור המובן־מאליו,לנסח שאלת מחקר ולמקמה מול ספרות קיימת.,
4003,3006,סקירת ספרות,סקר ספרות,א,11,עבודה,לא צוין,אקדמי,קישור לידע אחר,תוצר חלקי,מכוון,אמפירי,,ספרות מאותרת עצמאית,משני,מאמר שפיט,מיומנויות מחקר | כתיבה אקדמית,עיצוב מחקר | היבטים מבניים | לכידות וקוהרנטיות | רגיסטר וביסוס אקדמי,,לאתר ולמפות ספרות רלוונטית לשאלת המחקר.,
4009,3006,כלי מחקר,בניית כלי מחקר,ב,6,עבודה,לא צוין,אקדמי,פרשנות,תוצר חלקי,מובנה מלא,אמפירי,,נתונים שהסטודנט מייצר בעצמו,ראשוני,ריאיון שהסטודנט מייצר,מיומנויות מחקר,בניית כלי ואיסוף | עיצוב מחקר | ניתוח נתונים,"עמדה של יצירה, לא רק יישום",לבנות כלי מחקר אמפירי — סקר או ריאיון — ולהריצו.,
4002,3006,מחקר אמפירי שלם,מיני־סמינריון,ב,13,עבודה,תוצר מחקרי שלם,אקדמי,ביקורת והכרעה,תוצר שלם,מובנה מלא,אמפירי,,ספרות ונתונים עצמאיים,משולב,מאמר שפיט,מיומנויות מחקר | כתיבה אקדמית | ביקורת והערכה,עיצוב מחקר | ניתוח נתונים | הצגת ממצאים | בניית טיעון,צינור מטלות מתנקז; פיגום חזק,להוביל שאלת מחקר דרך סקר או ריאיון עד לתוצר מחקרי שלם — בליווי ומשוב.,
4000,3016,מוסדות ותוצאות,מבחן,א,13,מבחן,בחינה,אקדמי,חילוץ ופירוק,רכיב בודד,מובנה מלא,אמפירי,הייג והרופ,ערכת הכלים ההשוואתית,משני,ספר או פרק,הבנה מושגית | ביסוס קשרים סיבתיים,יישום על מקרה חדש | מתאם מול סיבתיות | הגדרה מדויקת,91% מהציון בבחינות,"לקשר בין מוסדות פוליטיים לתוצאותיהם, ולהפעיל את הכלים ההשוואתיים על מקרים נתונים.",
4018,3016,מדינתיות,תרגיל 1 — מדינתיות בניגריה ובהודו,א,2,עבודה,600 מילה,אקדמי,קישור לידע אחר,תוצר חלקי,מכוון,אמפירי,"ספר המדינות (ניגריה, הודו) | הייג והרופ",הייג והרופ פרקים 1-2; פרקי ניגריה והודו; חומר שיעור 2,משני,ספר או פרק,השוואה | ביסוס קשרים סיבתיים | הבנה מושגית,יישום על מקרה חדש | מיקום עמדות על הציר | זיהוי המשותף והמבחין | הצעת מנגנון,"עובר/לא עובר, 3 מתוך 5; ציר השוואה נתון; איסור על סקירה היסטורית; אינו באינדקס — שויך ל-3016 לפי שם הקובץ",להסביר בחיבור השוואתי קצר את הפערים במדינתיות של ניגריה והודו באמצעות מושגי הקורס.,
4019,3016,תפקידי החוקה,"תרגיל 2 — חוקות ארה""ב צרפת ורוסיה",א,4,ניתוח טקסט,600 מילה,אקדמי,פרשנות,תוצר חלקי,מובנה מלא,אמפירי,"חוקת ארה""ב | חוקת צרפת | חוקת רוסיה | הייג והרופ",החוקות עצמן במקור (באנגלית); הייג והרופ פרק 13; פרקי המדינות רקע בלבד; שאלה אחת ללא חומר עזר,ראשוני | משני,מסמך רשמי או חוק | ספר או פרק,ניתוח מקורות | השוואה | הבנה מושגית,כריית עדויות מחומר גולמי | הבחנה בין תיאור לפרשנות | זיהוי המשותף והמבחין | הכרעה מנומקת,"עובר/לא עובר, 3 מתוך 5; מענה בשאלות נפרדות ולא כחיבור; גבולי בין פרשנות לקישור; אינו באינדקס","לקרוא ישירות בשלוש חוקות ולענות על שאלות מובנות על תפקידיהן, הבדליהן ומשמעות סעיפיהן.",
